id,city,team1,team2,winner
1,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad
2,Rajkot,Defunct,Kolkata Knight Riders,Kolkata Knight Riders
3,Indore,Punjab Kings,Defunct,Punjab Kings
4,Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru
5,Hyderabad,Sunrisers Hyderabad,Defunct,Sunrisers Hyderabad
6,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
7,Indore,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings
8,Pune,Defunct,Delhi Capitals,Delhi Capitals
9,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
10,Kolkata,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders
11,Bangalore,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians
12,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
13,Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals
14,Mumbai,Mumbai Indians,Defunct,Mumbai Indians
15,Delhi,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
16,Hyderabad,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
17,Rajkot,Defunct,Royal Challengers Bengaluru,Royal Challengers Bengaluru
18,Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
19,Indore,Punjab Kings,Mumbai Indians,Mumbai Indians
20,Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians
21,Rajkot,Defunct,Punjab Kings,Punjab Kings
22,Kolkata,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders
23,Pune,Defunct,Kolkata Knight Riders,Kolkata Knight Riders
24,Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
25,Chandigarh,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
26,Chandigarh,Punjab Kings,Delhi Capitals,Punjab Kings
27,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
28,Mumbai,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians
29,Delhi,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
30,Delhi,Delhi Capitals,Defunct,Delhi Capitals
31,Bangalore,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings
32,Delhi,Delhi Capitals,Mumbai Indians,Mumbai Indians
33,Bangalore,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders
34,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
35,Chandigarh,Punjab Kings,Kolkata Knight Riders,Punjab Kings
36,Kanpur,Defunct,Delhi Capitals,Delhi Capitals
37,Mumbai,Mumbai Indians,Punjab Kings,Punjab Kings
38,Delhi,Delhi Capitals,Defunct,Delhi Capitals
39,Kanpur,Defunct,Sunrisers Hyderabad,Sunrisers Hyderabad
40,Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
41,Delhi,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
42,Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
43,Bangalore,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
44,Hyderabad,Mumbai Indians,Defunct,Mumbai Indians
45,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
46,Chandigarh,Delhi Capitals,Punjab Kings,Punjab Kings
47,Kolkata,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders
48,Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
49,Chennai,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
50,Jaipur,Rajasthan Royals,Delhi Capitals,Rajasthan Royals
51,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
52,Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru
53,Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals
54,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
55,Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals
56,Chandigarh,Punjab Kings,Chennai Super Kings,Punjab Kings
57,Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
58,Mumbai,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians
59,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
60,Chandigarh,Punjab Kings,Sunrisers Hyderabad,Punjab Kings
61,Pune,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
62,Kolkata,Kolkata Knight Riders,Punjab Kings,Punjab Kings
63,Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
64,Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
65,Jaipur,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
66,Delhi,Punjab Kings,Delhi Capitals,Punjab Kings
67,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
68,Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings
69,Hyderabad,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
70,Delhi,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
71,Pune,Chennai Super Kings,Mumbai Indians,Mumbai Indians
72,Jaipur,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
73,Bengaluru,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders
74,Pune,Chennai Super Kings,Delhi Capitals,Chennai Super Kings
75,Bengaluru,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru
76,Delhi,Delhi Capitals,Rajasthan Royals,Delhi Capitals
77,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
78,Indore,Punjab Kings,Mumbai Indians,Mumbai Indians
79,Pune,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings
80,Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
81,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
82,Indore,Rajasthan Royals,Punjab Kings,Punjab Kings
83,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad
84,Jaipur,Rajasthan Royals,Punjab Kings,Rajasthan Royals
85,Kolkata,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
86,Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
87,Jaipur,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
88,Indore,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders
89,Delhi,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
90,Pune,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
91,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
92,Indore,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru
93,Kolkata,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
94,Mumbai,Mumbai Indians,Punjab Kings,Mumbai Indians
95,Bengaluru,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru
96,Delhi,Delhi Capitals,Chennai Super Kings,Delhi Capitals
97,Jaipur,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals
98,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
99,Delhi,Delhi Capitals,Mumbai Indians,Delhi Capitals
100,Pune,Punjab Kings,Chennai Super Kings,Chennai Super Kings
101,Mumbai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
102,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
103,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
104,Mumbai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
105,Chennai,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings
106,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
107,Mumbai,Delhi Capitals,Mumbai Indians,Delhi Capitals
108,Jaipur,Punjab Kings,Rajasthan Royals,Punjab Kings
109,Delhi,Delhi Capitals,Chennai Super Kings,Chennai Super Kings
110,Kolkata,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders
111,Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians
112,Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
113,Chandigarh,Mumbai Indians,Punjab Kings,Punjab Kings
114,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad
115,Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
116,Chandigarh,Punjab Kings,Delhi Capitals,Punjab Kings
117,Jaipur,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals
118,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians
119,Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
120,Bengaluru,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders
121,Chennai,Chennai Super Kings,Punjab Kings,Chennai Super Kings
122,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
123,Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals
124,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
125,Chandigarh,Sunrisers Hyderabad,Punjab Kings,Punjab Kings
126,Chennai,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
127,Mumbai,Punjab Kings,Mumbai Indians,Mumbai Indians
128,Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
129,Kolkata,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
130,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
131,Chandigarh,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru
132,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
133,Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
134,Mumbai,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians
135,Chandigarh,Punjab Kings,Rajasthan Royals,Punjab Kings
136,Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
137,Delhi,Mumbai Indians,Delhi Capitals,Mumbai Indians
138,Kolkata,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru
139,Jaipur,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
140,Delhi,Punjab Kings,Delhi Capitals,Delhi Capitals
141,Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
142,Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru
143,Jaipur,Rajasthan Royals,Delhi Capitals,Delhi Capitals
144,Chennai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
145,Bengaluru,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru
146,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
147,Chennai,Mumbai Indians,Chennai Super Kings,Mumbai Indians
148,Jaipur,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
149,Delhi,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals
150,Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
151,Hyderabad,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
152,Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings
153,Chandigarh,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
154,Delhi,Rajasthan Royals,Delhi Capitals,Delhi Capitals
155,Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru
156,Chandigarh,Chennai Super Kings,Punjab Kings,Punjab Kings
157,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
158,Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians
159,Visakhapatnam,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals
160,Visakhapatnam,Delhi Capitals,Chennai Super Kings,Chennai Super Kings
161,Hyderabad,Mumbai Indians,Chennai Super Kings,Mumbai Indians
162,Abu Dhabi,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
163,Abu Dhabi,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru
164,Sharjah Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
165,Sharjah Cricket Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
166,Abu Dhabi,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
167,Dubai International Cricket Stadium,Punjab Kings,Sunrisers Hyderabad,Punjab Kings
168,Abu Dhabi,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians
169,Sharjah Cricket Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals
170,Abu Dhabi,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
171,Sharjah Cricket Stadium,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad
172,Abu Dhabi,Mumbai Indians,Punjab Kings,Mumbai Indians
173,Dubai International Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
174,Abu Dhabi,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals
175,Abu Dhabi,Punjab Kings,Chennai Super Kings,Chennai Super Kings
176,Dubai International Cricket Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
177,Abu Dhabi,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
178,Sharjah Cricket Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals
179,Dubai International Cricket Stadium,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings
180,Abu Dhabi,Mumbai Indians,Rajasthan Royals,Mumbai Indians
181,Dubai International Cricket Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings
182,Abu Dhabi,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
183,Sharjah Cricket Stadium,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
184,Dubai International Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad
185,Dubai International Cricket Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
186,Dubai International Cricket Stadium,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals
187,Sharjah Cricket Stadium,Kolkata Knight Riders,Punjab Kings,Punjab Kings
188,Sharjah Cricket Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians
189,Dubai International Cricket Stadium,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
190,Abu Dhabi,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders
191,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
192,Dubai International Cricket Stadium,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru
193,Abu Dhabi,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
194,Sharjah Cricket Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals
195,Dubai International Cricket Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
196,Abu Dhabi,Delhi Capitals,Mumbai Indians,Mumbai Indians
197,Dubai International Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
198,Sharjah Cricket Stadium,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings
199,Abu Dhabi,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
200,Abu Dhabi,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
201,Dubai International Cricket Stadium,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru
202,Dubai International Cricket Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians
203,Dubai International Cricket Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
204,Abu Dhabi,Punjab Kings,Rajasthan Royals,Rajasthan Royals
205,Sharjah Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
206,Dubai International Cricket Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals
207,Sharjah Cricket Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru
208,Abu Dhabi,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
209,Dubai International Cricket Stadium,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
210,Dubai International Cricket Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals
211,Dubai International Cricket Stadium,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings
212,Abu Dhabi,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
213,Dubai International Cricket Stadium,Delhi Capitals,Punjab Kings,Punjab Kings
214,Dubai International Cricket Stadium,Mumbai Indians,Delhi Capitals,Mumbai Indians
215,Abu Dhabi,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad
216,Abu Dhabi,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
217,Dubai International Cricket Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians
218,Chennai,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru
219,Mumbai,Chennai Super Kings,Delhi Capitals,Delhi Capitals
220,Chennai,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
221,Mumbai,Punjab Kings,Rajasthan Royals,Punjab Kings
222,Chennai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
223,Chennai,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru
224,Mumbai,Delhi Capitals,Rajasthan Royals,Rajasthan Royals
225,Mumbai,Punjab Kings,Chennai Super Kings,Chennai Super Kings
226,Chennai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
227,Chennai,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru
228,Mumbai,Punjab Kings,Delhi Capitals,Delhi Capitals
229,Mumbai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
230,Chennai,Mumbai Indians,Delhi Capitals,Delhi Capitals
231,Chennai,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
232,Mumbai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
233,Mumbai,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
234,Chennai,Mumbai Indians,Punjab Kings,Punjab Kings
235,Mumbai,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
236,Mumbai,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings
237,Ahmedabad,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
238,Ahmedabad,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru
239,Delhi,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
240,Delhi,Rajasthan Royals,Mumbai Indians,Mumbai Indians
241,Ahmedabad,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
242,Ahmedabad,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings
243,Delhi,Chennai Super Kings,Mumbai Indians,Mumbai Indians
244,Delhi,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
245,Ahmedabad,Punjab Kings,Delhi Capitals,Delhi Capitals
246,Abu Dhabi,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders
247,Abu Dhabi,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
248,Abu Dhabi,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
249,Sharjah,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru
250,Sharjah,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
251,Sharjah,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
252,Sharjah,Rajasthan Royals,Mumbai Indians,Mumbai Indians
253,Dubai,Chennai Super Kings,Punjab Kings,Punjab Kings
254,Abu Dhabi,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad
255,Abu Dhabi,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
256,Abu Dhabi,Delhi Capitals,Rajasthan Royals,Delhi Capitals
257,Abu Dhabi,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
258,Abu Dhabi,Punjab Kings,Mumbai Indians,Mumbai Indians
259,Dubai,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
260,Dubai,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
261,Dubai,Kolkata Knight Riders,Punjab Kings,Punjab Kings
262,Dubai,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
263,Dubai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
264,Dubai,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals
265,Sharjah,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
266,Sharjah,Punjab Kings,Sunrisers Hyderabad,Punjab Kings
267,Dubai,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru
268,Dubai,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
269,Dubai,Chennai Super Kings,Delhi Capitals,Delhi Capitals
270,Dubai,Rajasthan Royals,Punjab Kings,Rajasthan Royals
271,Sharjah,Mumbai Indians,Delhi Capitals,Delhi Capitals
272,Sharjah,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings
273,Dubai,Delhi Capitals,Chennai Super Kings,Chennai Super Kings
274,Sharjah,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders
275,Sharjah,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
276,Dubai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
277,Mumbai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
278,Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals
279,Mumbai,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings
280,Mumbai,Lucknow Super Giants,Gujarat Titans,Gujarat Titans
281,Pune,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
282,Mumbai,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru
283,Mumbai,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants
284,Mumbai,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
285,Mumbai,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
286,Pune,Gujarat Titans,Delhi Capitals,Gujarat Titans
287,Mumbai,Punjab Kings,Chennai Super Kings,Punjab Kings
288,Mumbai,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants
289,Mumbai,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
290,Pune,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
291,Mumbai,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants
292,Mumbai,Punjab Kings,Gujarat Titans,Gujarat Titans
293,Mumbai,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
294,Pune,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru
295,Mumbai,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
296,Mumbai,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals
297,Mumbai,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad
298,Mumbai,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings
299,Pune,Punjab Kings,Mumbai Indians,Punjab Kings
300,Mumbai,Gujarat Titans,Rajasthan Royals,Gujarat Titans
301,Mumbai,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
302,Mumbai,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants
303,Mumbai,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru
304,Mumbai,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
305,Pune,Chennai Super Kings,Gujarat Titans,Gujarat Titans
306,Mumbai,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
307,Mumbai,Royal Challengers Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru
308,Mumbai,Punjab Kings,Delhi Capitals,Delhi Capitals
309,Navi Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
310,Mumbai,Rajasthan Royals,Delhi Capitals,Rajasthan Royals
311,Navi Mumbai,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans
312,Mumbai,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad
313,Mumbai,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants
314,Mumbai,Punjab Kings,Chennai Super Kings,Punjab Kings
315,Pune,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals
316,Mumbai,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans
317,Mumbai,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
318,Pune,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants
319,Mumbai,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans
320,Navi Mumbai,Rajasthan Royals,Mumbai Indians,Mumbai Indians
321,Mumbai,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants
322,Pune,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
323,Mumbai,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
324,Navi Mumbai,Gujarat Titans,Punjab Kings,Punjab Kings
325,Pune,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru
326,Mumbai,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
327,Mumbai,Mumbai Indians,Gujarat Titans,Mumbai Indians
328,Mumbai,Punjab Kings,Rajasthan Royals,Rajasthan Royals
329,Pune,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants
330,Mumbai,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru
331,Navi Mumbai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings
332,Navi Mumbai,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
333,Pune,Gujarat Titans,Lucknow Super Giants,Gujarat Titans
334,Navi Mumbai,Rajasthan Royals,Delhi Capitals,Delhi Capitals
335,Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians
336,Mumbai,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings
337,Pune,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
338,Mumbai,Chennai Super Kings,Gujarat Titans,Gujarat Titans
339,Mumbai,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals
340,Navi Mumbai,Delhi Capitals,Punjab Kings,Delhi Capitals
341,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
342,Navi Mumbai,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants
343,Mumbai,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru
344,Mumbai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
