id,city,team1,team2,winner
995,Pune,Defunct,Mumbai Indians,Mumbai Indians
996,Chandigarh,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
997,Ranchi,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders
998,Jaipur,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
999,Delhi,Delhi Capitals,Punjab Kings,Punjab Kings
1000,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
1001,Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings
1002,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians
1003,Chandigarh,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings
1004,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
1005,Dharamsala,Punjab Kings,Mumbai Indians,Punjab Kings
1006,Bangalore,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru
1007,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
1008,Delhi,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
1009,Delhi,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
1010,Kolkata,Mumbai Indians,Rajasthan Royals,Mumbai Indians
1011,Kolkata,Chennai Super Kings,Mumbai Indians,Mumbai Indians
1012,Abu Dhabi,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
1013,Sharjah Cricket Stadium,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1014,Abu Dhabi,Chennai Super Kings,Punjab Kings,Punjab Kings
1015,Abu Dhabi,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
1016,Dubai International Cricket Stadium,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru
1017,Dubai International Cricket Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
1018,Sharjah Cricket Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings
1019,Abu Dhabi,Chennai Super Kings,Delhi Capitals,Chennai Super Kings
1020,Sharjah Cricket Stadium,Punjab Kings,Sunrisers Hyderabad,Punjab Kings
1021,Dubai International Cricket Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
1022,Sharjah Cricket Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders
1023,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
1024,Dubai International Cricket Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
1025,Abu Dhabi,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals
1026,Abu Dhabi,Kolkata Knight Riders,Punjab Kings,Punjab Kings
1027,Sharjah Cricket Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals
1028,Sharjah Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
1029,Dubai International Cricket Stadium,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings
1030,Dubai International Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
1031,Ranchi,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
1032,Mumbai,Mumbai Indians,Punjab Kings,Mumbai Indians
1033,Delhi,Delhi Capitals,Rajasthan Royals,Rajasthan Royals
1034,Bangalore,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru
1035,Ahmedabad,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
1036,Delhi,Delhi Capitals,Chennai Super Kings,Chennai Super Kings
1037,Mumbai,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians
1038,Delhi,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
1039,Cuttack,Punjab Kings,Chennai Super Kings,Punjab Kings
1040,Ahmedabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
1041,Bangalore,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings
1042,Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
1043,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
1044,Cuttack,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
1045,Bangalore,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals
1046,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
1047,Ranchi,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
1048,Bangalore,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru
1049,Hyderabad,Sunrisers Hyderabad,Punjab Kings,Punjab Kings
1050,Cuttack,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
1051,Ahmedabad,Rajasthan Royals,Delhi Capitals,Rajasthan Royals
1052,Ranchi,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1053,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
1054,Ahmedabad,Rajasthan Royals,Mumbai Indians,Mumbai Indians
1055,Delhi,Delhi Capitals,Punjab Kings,Punjab Kings
1056,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad
1057,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
1058,Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians
1059,Kolkata,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders
1060,Ranchi,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
1061,Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians
1062,Chandigarh,Punjab Kings,Rajasthan Royals,Punjab Kings
1063,Bangalore,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings
1064,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
1065,Chandigarh,Punjab Kings,Delhi Capitals,Punjab Kings
1066,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians
1067,Kolkata,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
1068,Mumbai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
1069,Mumbai,Chennai Super Kings,Punjab Kings,Punjab Kings
1070,Bangalore,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders
1071,Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
1072,Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings
1073,Pune,Punjab Kings,Rajasthan Royals,Rajasthan Royals
1074,Chennai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
1075,Kolkata,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1076,Delhi,Delhi Capitals,Rajasthan Royals,Rajasthan Royals
1077,Mumbai,Mumbai Indians,Punjab Kings,Punjab Kings
1078,Bangalore,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad
1079,Ahmedabad,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
1080,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
1081,Pune,Punjab Kings,Delhi Capitals,Delhi Capitals
1082,Visakhapatnam,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
1083,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
1084,Visakhapatnam,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals
1085,Pune,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
1086,Ahmedabad,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
1087,Bangalore,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians
